Name,URL,Full Address,Charity Number,Income,Expenditure,Cause,Vacancies
CATHEDRAL AND ABBEY CHURCH OF ST ALBAN,www.stalbanscathedral.org,"St Albans Cathedral, Sumpter Yard, St Albans, AL1 1BY",1207312.0,2943000.0,3379000.0,Religious Activities,
EHSL,www.ehsl-uk.com,"E H S L, 614 READING ROAD, WINNERSH, WOKINGHAM, RG41 5HE",1211218.0,11929101.0,11548717.0,"General Charitable Purposes, Disability",https://ehsl-uk.com/jobs/
EXETER CATHEDRAL,,"1 The Cloisters, EXETER, EX1 1HS",1206915.0,11077833.0,9794441.0,Religious Activities,
HORSFALL HOUSE,https://horsfallhouse.co.uk/,"HORSFALL HOUSE, WINDMILL ROAD, MINCHINHAMPTON, NR STROUD, GLOUCESTERSHIRE, GL6 9EY",1208145.0,4332148.0,4291112.0,Disability,https://horsfallhouse.co.uk/job_listing-sitemap.xml
INSTITUTE OF RISK MANAGEMENT,https://www.theirm.org/,"The Institute of Risk Management, 1st Floor, 80 Leadenhall Street, LONDON, EC3A 3DH",1209756.0,5646128.0,5650417.0,"Education/training, Economic/community Development/employment",https://theirm.org/join-our-community/about-membership/
Steve Reid Foundation,,,,,,,
THE CATHEDRAL CHURCH OF SAINT MARY AND SAINT CHAD IN LICHFIELD,,"Lichfield Cathedral Office, 19A The Close, Lichfield, WS13 7LD",1207343.0,3277988.0,3432617.0,Religious Activities,
THE CATHEDRAL CHURCH OF ST ANDREW IN WELLS,www.wellscathedral.org.uk,"Wells Cathedral Offices, 1st &amp; 2nd Floors, 16 Market Place, WELLS, Somerset, BA5 2RB",1207269.0,3686996.0,3707422.0,Religious Activities,https://www.wellscathedral.org.uk/safeguarding/safer-recruitment-and-training
THE SAMWORTH FOUNDATION,www.samworthfoundation.org.uk,"SAMWORTH FOUNDATION, CHETWODE HOUSE, 1 SAMWORTH WAY, MELTON MOWBRAY, LE13 1GA",1207859.0,2849755.0,3443688.0,General Charitable Purposes,https://www.samworthfoundation.org.uk/work-with-us/
The Lancet Countdown on Health and Climate Change,,,,,,,
"CATHEDRAL CHURCH OF CHRIST AND THE BLESSED VIRGIN MARY, ROCHESTER",https://www.rochestercathedral.org/,"GARTH HOUSE, THE PRECINCT, ROCHESTER, ME1 1SX",1206900.0,2186000.0,2501000.0,Religious Activities,https://www.rochestercathedral.org/job-vacancy-input
PORTSMOUTH ROYAL MARITIME CLUB,www.royalmaritimehotel.co.uk,"Royal Maritime Hotel, 75-80 Queen Street, PORTSMOUTH, Hampshire, PO1 3HS",1205660.0,2488414.0,2397616.0,Disability,https://www.royalmaritimehotel.co.uk/careers
